Rank,SummonerName,LeaguePoints,Wins,Losses,HotStreak,WinLossRatio
1,Nom inconnu,1305,135,106,Oui,1.27
2,Nom inconnu,1297,95,71,Non,1.34
3,Nom inconnu,1243,110,86,Non,1.28
4,Nom inconnu,1215,115,89,Non,1.29
5,Nom inconnu,1168,89,63,Non,1.41
6,Nom inconnu,1146,79,50,Non,1.58
7,Nom inconnu,1122,79,52,Non,1.52
8,Nom inconnu,1121,64,37,Non,1.73
9,Nom inconnu,1116,107,60,Non,1.78
10,Nom inconnu,1088,85,52,Non,1.63
11,Nom inconnu,1083,76,57,Oui,1.33
12,Nom inconnu,1044,116,103,Non,1.13
13,Nom inconnu,1036,142,107,Non,1.33
14,Nom inconnu,1034,111,94,Non,1.18
15,Nom inconnu,1014,82,63,Oui,1.30
16,Nom inconnu,1013,133,103,Non,1.29
17,Nom inconnu,1013,89,73,Non,1.22
18,Nom inconnu,1007,99,90,Oui,1.10
19,Nom inconnu,990,64,41,Non,1.56
20,Nom inconnu,989,79,44,Non,1.80
21,Nom inconnu,985,106,84,Oui,1.26
22,Nom inconnu,964,89,73,Non,1.22
23,Nom inconnu,943,103,92,Non,1.12
24,Nom inconnu,936,69,35,Non,1.97
25,Nom inconnu,924,116,74,Non,1.57
26,Nom inconnu,919,76,48,Non,1.58
27,Nom inconnu,907,83,61,Oui,1.36
28,Nom inconnu,904,83,67,Non,1.24
29,Nom inconnu,886,97,64,Non,1.52
30,Nom inconnu,878,76,60,Non,1.27
31,Nom inconnu,860,55,35,Non,1.57
32,Nom inconnu,854,69,56,Non,1.23
33,Nom inconnu,853,63,42,Oui,1.50
34,Nom inconnu,850,62,42,Non,1.48
35,Nom inconnu,849,58,38,Non,1.53
36,Nom inconnu,846,72,62,Non,1.16
37,Nom inconnu,845,101,99,Non,1.02
38,Nom inconnu,843,56,39,Non,1.44
39,Nom inconnu,833,99,69,Non,1.43
40,Nom inconnu,831,98,90,Non,1.09
41,Nom inconnu,831,62,39,Non,1.59
42,Nom inconnu,825,95,69,Non,1.38
43,Nom inconnu,823,69,48,Oui,1.44
44,Nom inconnu,821,52,32,Oui,1.62
45,Nom inconnu,815,73,58,Oui,1.26
46,Nom inconnu,813,84,66,Non,1.27
47,Nom inconnu,804,54,26,Oui,2.08
48,Nom inconnu,804,54,30,Non,1.80
49,Nom inconnu,797,70,51,Oui,1.37
50,Nom inconnu,796,96,73,Non,1.32
51,Nom inconnu,791,62,23,Non,2.70
52,Nom inconnu,790,58,40,Non,1.45
53,Nom inconnu,787,60,39,Non,1.54
54,Nom inconnu,783,64,54,Non,1.19
55,Nom inconnu,781,72,56,Non,1.29
56,Nom inconnu,780,75,61,Non,1.23
57,Nom inconnu,779,89,67,Non,1.33
58,Nom inconnu,779,87,65,Non,1.34
59,Nom inconnu,775,55,27,Non,2.04
60,Nom inconnu,774,60,49,Non,1.22
61,Nom inconnu,772,119,113,Non,1.05
62,Nom inconnu,766,49,21,Non,2.33
63,Nom inconnu,763,61,27,Oui,2.26
64,Nom inconnu,761,89,77,Non,1.16
65,Nom inconnu,761,50,30,Non,1.67
66,Nom inconnu,758,63,53,Non,1.19
67,Nom inconnu,755,97,65,Non,1.49
68,Nom inconnu,755,52,34,Oui,1.53
69,Nom inconnu,745,64,53,Oui,1.21
70,Nom inconnu,743,68,57,Non,1.19
71,Nom inconnu,742,79,64,Non,1.23
72,Nom inconnu,740,78,59,Oui,1.32
73,Nom inconnu,740,71,62,Oui,1.15
74,Nom inconnu,733,71,57,Non,1.25
75,Nom inconnu,731,85,73,Non,1.16
76,Nom inconnu,729,58,49,Non,1.18
77,Nom inconnu,728,50,27,Non,1.85
78,Nom inconnu,727,83,47,Non,1.77
79,Nom inconnu,720,59,47,Non,1.26
80,Nom inconnu,718,88,60,Oui,1.47
81,Nom inconnu,718,74,51,Non,1.45
82,Nom inconnu,717,49,30,Non,1.63
83,Nom inconnu,711,91,77,Oui,1.18
84,Nom inconnu,710,62,39,Oui,1.59
85,Nom inconnu,709,129,109,Non,1.18
86,Nom inconnu,709,57,40,Non,1.43
87,Nom inconnu,708,74,45,Non,1.64
88,Nom inconnu,706,51,32,Non,1.59
89,Nom inconnu,702,60,26,Non,2.31
90,Nom inconnu,701,81,65,Non,1.25
91,Nom inconnu,701,52,36,Non,1.44
92,Nom inconnu,700,71,56,Non,1.27
93,Nom inconnu,700,54,26,Non,2.08
94,Nom inconnu,698,64,56,Non,1.14
95,Nom inconnu,697,99,47,Non,2.11
96,Nom inconnu,695,56,43,Non,1.30
97,Nom inconnu,693,80,59,Non,1.36
98,Nom inconnu,692,48,28,Non,1.71
99,Nom inconnu,691,142,134,Non,1.06
100,Nom inconnu,691,106,93,Non,1.14
